grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.33
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.28
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.40
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.30
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.79
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.01
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.78
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.74
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.82
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.81
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 168.67
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 165.70
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 181.31
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 181.99
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 179.42
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 180.23
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 168.82
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 177.31
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 174.16
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 170.61
